	No.	Sentence	label1	label2
2979	3857	Sir ? Aap kabhi promotion ke liye odisha ayiye plz	2	2
3288	4209	Hum log Jarur dekhenge aapka movie..	2	2
118	163	Modhiji se India ki janta ko jo umide thi vo abhi tak jaha ki taha hai kuch esa strong kare jo anewale samay me bhi bana rahe kiyki samay ab kam he	1	1
556	740	Flop jaaigi movie teri....aehsan framosh..	0	0
439	615	apun aap ka bahut bada se bada fen h	2	2
3560	4491	Supar hit bahi	2	2
3178	4096	ASSALAMALIKUM.....ap ki aesi jo aadhri dowaye hai jo ramzan k sadk puri ho jaye..............RAMZAAN MOBARAK	1	1
2838	3649	tiger bahoot busy hai abhi... dont disterb cat	2	2
2890	3737	Bhay ab mera net pack khatam hone aya he	2	2
2051	2483	plz aayeye sir jhuth bole to smjh lena aap ek meri jitni achi fan gwa doge aap sir	1	1
1876	2303	M sorry bhai 4pm me mjhe thoda kam h rat ko diner pe bat karte h	1	1
2886	3732	Bhai shaadi b kroge ya randwe hi mroge	0	0
438	614	salman khan app next film ki shooting agra city se karna plz sir	1	1
319	471	aabay india k sowar. cow ka peshab penay walay . pakistan aja. tujhe karachi ka peshab khane ly jaounga. roz 3 liter pelaounga. or khane hai tujhe cow ka gobar bhe khelaounga. maa ke choot tere or teray bhen l loray BAGWAN ki	0	0
380	547	Desh ka vikas har koi petrol or diseal ke rate bda kar hi kyu krna chahta hai	0	0
1032	1318	Abhi tak to bada dum tha tum logo ke laudo me??????? achanak se dhile ho gaye????	0	0
2647	3176	aree salman sir ek baar jo committed phir wo apne aap ki bhi nahi sunte kyun sir	1	1
2927	3788	Asslawalecom salman bhai..	2	2
3687	4674	Salman ji sirf mera hai .....hai naa salman aur oss k lye main kuch b kar sakte ......	2	2
3303	4224	yakeen krne se phle ek baar video dekh lena chahiye tha	1	1
3618	4587	bajrangi bhaijaan 347 caror box offic	2	2
3799	4823	Hlo sir kya aap kbhi mujhse baat krege kuch baat hai jo main aapse share krna chahti hu	2	2
132	185	Jai hind jai bharat mata ki jai	2	2
402	571	agar modi ji 10 saal pahle pm bane hote to ham aaj 20 saal aage hote	2	2
2940	3806	Salman bhai kahan hooo ...... 6 baj gaye ab 1 ghanta gaya to iftar ka time hota please ek reply dedijiye,, please bhaijaan ........	1	1
1848	2275	Meri ma apko bhot yaad karti he bhai	2	2
709	901	Kay kahna chah rahi ho	1	1
108	152	desh gourav badha rahe ho ayushman bhav	2	2
1270	1619	Salman don't worry faltu ki abha se apke fan ko fark nhi padega movie mast chalegi	2	2
1439	1823	Awesome track. ..Dil mey uttar gya yaar	2	2
3381	4303	BiNa muslim Ki hit karke dikhyenge hm	1	1
3005	3897	agar sach me mujhe app ke sat bat ho jata to me khusi se pagal ho jata...	2	2
2707	3318	Bahot ho chuki hain teri dillagi  chale bhi aao abb shyam dhalne lagi.. :-)	2	2
230	326	BJP VIJAY hooooooooooooo	2	2
913	1176	Nice bajrangi bhai. ..	2	2
329	484	Log apna sapna Pura karne ke liye puri duniya ko bhi dokha de sakta h	1	1
2380	2829	A bhi jao mr.salman kaha ho	1	1
491	672	Main Hindu hu Bhai bajrang Bali bhi Hindu god hai gau mata ki Bali dete ho sir aur bajrangi banate ho	2	2
2735	3381	bhai jan balkum salam ma shimla sa ho to numsta salman bhai	1	1
1004	1284	Ab kis baat bheek mang rha rha hath faila kr eid pr	0	0
34	45	we are proud our pm ; ab lg rha h ki hmara desh ek achchi rah pr chal para hai jaha se hm puri world me apna jhanda gaar skte hai	2	2
2726	3360	aa jao.... rplyyy meee plzzzzzz	1	1
2853	3674	salman bhai kaha ho aap replay kuy nahi dayrahay ho	2	2
1335	1695	bhaijaan mere Questions... aap sabse jyada kise chahte ho????	1	1
771	976	jo ganda log hai woh ganda hi rahega according to pychology u cant change anyones behavior woh act karege par change nhi hote !	0	0
984	1258	hume bhi party chahiye	1	1
518	699	Grt super star sallu bhai	2	2
1190	1526	bus ek sawal ka jawad dijye aap mujhse kab milenge	1	1
1415	1796	butiful song evr i fel in luv wiv dis song	2	2
93	129	Namsthe sir jai gurudhev	1	1
2108	2540	Bhai ne fool bna diya sabko hahahhah	1	1
1780	2205	Hum to 2 vje se w8 main hai	1	1
1868	2295	tu musalman nhi to name bi chng krle apna santi lal rakhle	1	1
698	890	Bhaiya main aapka bahut bada fan hu	2	2
2844	3662	Bhai jan  jab awogay mujhe reply karna plzzz am waiting	2	2
428	604	Samsung galaxy Grand max 14000 Ka tha sale ke din 18000 Ka ho gaya , idr hum pagal nai behte hai sunlo company walon	0	0
1462	1852	Insaniyat nd pyar sbse phle yaad rhta h	1	1
921	1185	i love u salman vai.i always like u vaijan.khuda hamesha apki saath rahega..	2	2
1046	1336	Gracy Singh or salaman khan jodi ek sath dekhana chahata hu	1	1
1797	2222	Ok bhai mai aap se bat karunga bahut important bat hai	1	1
3471	4395	Salman bhai i love you nikhil raj hemanshu raj nikhil par frend request kijiye ga salman bhai pls pls pls	1	1
2858	3686	Ha jao jao kon rok rha h tumen	2	2
3064	3971	salmam ji kya hai aap rply nahi dai rahai ho. thoda dyan muj ko b dona plzzz	2	2
983	1257	Lanat ho bajrangi shaitan par lanti slman	0	0
681	873	Aaj tak par news sache hai plss reply ......Ansar	1	1
1438	1821	Faad bhai faad ....att kara ti . Sirra acting kiti a . Maza aa gya . #bhai to jaan hai	2	2
3830	4883	Kal dekhna na bhule	1	1
2502	2962	i lv u urmy fav star koi nai ap sa proud of u i lv u	2	2
3716	4715	Is movie ko salam bhai bhi nahi bacha payenge ?	0	0
2589	3083	Salman sir apke liye Puri life wait kar sakte h	2	2
2289	2732	Salam sucuk sosis salman	1	1
1634	2048	Faltu log hi jayenge is harami ki movie dekhne isse kya pata Islam kya hai	0	0
2687	3276	kha chale gaye bhai..	1	1
689	881	very very very very very very very very very very very very very very very very niceeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee and i loveeeeeeeeeeeeeeeeeeeeeeeeee uuuuuuuuuuuuuuuuuuuuuu bhai jaan	2	2
3795	4818	Mazay ka tha lolz komal fon uthao na yar :p	1	1
884	1137	Teri party tere baab ko de na layak	0	0
507	688	Realllllly loooovvv u salman	2	2
817	1047	ye sab kuch nahi hai exal aur coral me bhot sare formula and short cut hai wo yad rakhna padta hai	1	1
2641	3165	kaha pe chat karna bhai	1	1
3648	4623	eid mubarak ho aap ek baar reply karye pls	2	2
1447	1835	grat indian army & salman vai.	2	2
2546	3021	Bht ho gya wait ab baat krni ho toh inbox kr dena	1	1
3690	4677	bhai sab ready ho jao kal first day first show kuch bhi ho jaye	2	2
3167	4085	oye fake id #salman_khan tera to public #acount hai ... real hai to #page se reply mar	0	0
373	539	Sir ab bihar me lalu nitish ka supda saf kro	1	1
2817	3620	live chat karna kaise hai???	2	2
1695	2114	Brillient jeee i m muslim from pakistan janab pakistan buri jagah nae jo ap yahan a nae skty ........m bula nae rae bta rae hun ana howa to most welcome mery colg m b aiya gaaaa	2	2
1147	1467	Han bhaijaan jaisa aap kaho..best of luck for bajrangi bhai	2	2
1994	2426	Salman ji , aap ko haleem pasand hai?	1	1
532	714	arey yo toh apna hi balak se	1	1
208	294	Mananiy & sammananiy narendra modi ji is yug k Aap Lauh Purush hai mujhe aap par garv hai Aapko koti-koti Naman	2	2
1993	2425	3.58.... ohhh cant wait :)	1	1
2146	2579	Bajrangi bhai jan kis type ki picture hai log halla kyo macha rahe hai	1	1
1986	2417	sallu bhai plz ab toh a o jani	1	1
2564	3047	Bhai ko mat bolo wo buzzy hoga aajaiga	0	0
262	387	Modi ji aap dash kahenhe sbheka diloke P.M.ho	2	2
57	75	Sir app ke jo soch he subko sath me leke chalna ek din ye soch appko itna upper lejayega chahe koye appko bhulne ki kosis kerenge to unnke samne appko bhulna nehi balki desh ko bhulna nazar aayega.	2	2
269	395	sir gay mat aki hatyaye roko	2	2
420	594	jai bajrang bali..	2	2
1718	2139	nahi baat karni hai toh abhi k abhi! nahi toh phir bajrangi bhaijaan ka trailer dekhne me busy hu :)	1	1
3640	4612	Salman sir ki chandi hi chandi..(:	2	2
1384	1759	Bajrangi bhaiJan aap se kb mulakaat hogi isi janam ya agle janam Bajarang bali kab chahte hai	1	1
2670	3241	add    karo ji hamre b koi              jo.add karega salman khan usi.ko.msg karega	1	1
1983	2414	kya aap bengali language bol sakte ho?	1	1
2897	3747	bhai jaan ek baar me aap se milna chahta hu bhai jaan please please	1	1
3187	4105	aj apne hum sbko bht hurt kiye salman...apse ye umid nhi thi hum sb ko :-(...bt m also luv u salman...:)	1	1
440	617	i love salman sir.....dost na koi manjil he na koi sathi he fir bhi nikal pada udhar se sayad jis ki talash he wahi sathi he wahi manjil he......o o jane jana dhunde tujhe diwana........salman sir i love you	2	2
2180	2613	Bhai profile pic mxt HAI change mat krna	1	1
3601	4551	Osm pic sallu	2	2
2176	2609	Kaha par hai	1	1
3718	4717	Jabrdsth bhai jaan..	2	2
1938	2366	pleaseeee cevap dena bhai	1	1
3351	4272	BHAI SE BDA KOI SUPERSTAR NHI H DUNIYA ME	2	2
3729	4730	Howar you salman bai	1	1
51	65	modi ji aage chalo haem aapki jarurat hai	2	2
41	52	koi hindu nhi koi muslim nhi hm sab hundustani hai	1	1
202	286	sicha vibhag ki tarah koi dhyan q n deta jo most important hai log apne baccho ko sarkari college ki jagah private collego me q pdhate hai	0	0
3765	4775	feeling sooo excited fr tommorow .. :) #Bhaijaan <3	2	2
1224	1565	"Bhai aap toh bolly wood ke badshah ho """"""""""aur aap humare dil k kareb ho love u bhai jaan"	2	2
3440	4362	Salman Bhai jaan hamare dil me basa hei	1	1
3532	4463	Bajrangi Bhaijaan sbka bhai	1	1
3778	4794	I laik you sallu bhai jaan	2	2
1168	1494	"welcome *""*'*'*'*'*'*bajrangibhai jaan*'*'*'*'*'*'*""*'*'*superhit movie*""*""*""*'*'*'*:welcome fance party*""*'-'*'-'*'*""*'*superr*'*'*'*'*'*'*'*:*duper*""*'*'*'*'*'*best*'*'*'*'*'*'*'*'*""*:very nice*""*'*'*:*'*bajarangi bhai *""*'*'*""*'*'*'*bajarangi bhai *'*""*""*""*'*'*'*'*bajarangi bhai*""*""*'*'*':'*:*'*hit*'*""*'*'*:hit*'*""*'*'*'*'*'*'*hit*'*'*""*'*'*'*super actor&actress*""*'*'bajrangibhai*""*'*'kareena *'*'*'*'*best *""*""*""*'*'*""*'*watch movie later-id-ul-fittar*""*'*'*'with*""*""*'*'*sallu*""*""*'*'*':'kareena *""*'*'*'*'*bajarangi bhai jaan *""*""*'*'*superstar*""*'*'*'::"	2	2
368	533	Kyo modi ji bihar ke yua berojgar hi rhenge. Bihar ki gandi rajniti me sare yua piss rhe h	0	0
2366	2813	kia h0A sal00 bai.....?	1	1
1921	2349	kaha hai aap bhai#salman.....#juma mubarak ho......	1	1
3048	3950	salman sir aap kyo nai aiye online	2	2
487	668	Abe tu ye sab kisse bat kar rhi hai yar	1	1
3317	4238	I love uuuuuii salman khaaan ;-);-);-);-)	2	2
371	536	dear prime minister job ke liye b kuch kriye sirf nitiya bnane se rojgar ki samsya hl nhi hogi	0	0
814	1042	bahut ganda msg tha	0	0
783	995	Kutta hai to na to muslim na to hindu	0	0
3721	4720	nice salman bro	2	2
1594	2004	Bhai mera nasm saaru h jaise aap ka sallu h	1	1
141	197	Don't forget godse	1	1
2660	3215	Kyun reply nahi karr rahe ho???	0	0
2226	2662	Bhai movie main social message kya hai batao	1	1
1884	2311	aaj ki party #Bhai ki taraf se.	1	1
2530	2998	Salman bhai...suna hai ap ko kamar k takleef hai..allah ap KO jald sihat yab kare..AMEEN SUMA AMEEN	1	1
3853	4930	all the best+EID MUBARAK 2 SALMAN,LOTS OF REGARD2 ELDERS+LOTS OF AFFECTION&LOVE2 young!	2	2
1682	2101	Hum bajrangbali ke bhakt h mr jayenge magar jhoot nahi bolengei miss you broi like you bro	2	2
519	700	GREAT SALMAN BAI	2	2
2600	3102	ab kitta wait krwaoge	2	2
3069	3977	salman sir abi tak wait kar reha hai hum plz abi b aa joa	2	2
3741	4746	Ye raha almost jail sey bhaga hua mujrim	0	0
2028	2460	Salman bhai ap vadio chat kro gy	1	1
2493	2953	chalo sab apne apne ghar koi salman nahi aaega....!!	1	1
390	558	Aadarniy pm ji aapke pas feuchar plan bahuthi aachha hai aapko salam.	2	2
2971	3848	sir itna to koi apni girlfriend ka b wait nae krta pta nae ap ans kyn nae d rhe	1	1
1417	1798	Aj ki party ...bhabi ki taraf se sallu bhai ...??	1	1
111	156	Apna desh chlane ke liye bola apni myiya chuda rhe ho ghum ghum ke..	0	0
1243	1589	Abe selman Khan muslman ke name per klneq hae ise jeene ka koi heq nahi hae	0	0
1199	1536	hamare sallu bhai h	1	1
3730	4733	Bhai jaan kuch kami si lag rahi h... Pata nai kyun.....	0	0
1109	1418	Salman bhai ap mujhe bhot pasand ho	2	2
1806	2231	Agr time mile to mujhse bhi bat kar kena...	1	1
2159	2592	Hello koi hai ?	1	1
2102	2534	Kamaal karte ho pandey ji whr r u	1	1
583	769	Salman khan sir tayyar ha aaj ke party ke liye	2	2
2075	2507	4 bjh gaye sir	1	1
3293	4214	Sir sab ko pata hai na aap kise ka bura krta Ho or na kise ka bura chahta ho loveyou	2	2
2362	2809	Bhai jaan . aa bhi jao ..	1	1
2840	3653	Sir aapne reply nahi kiya !!	0	0
2525	2993	salman bhai sultan film ke shuts chalu hai abhi	1	1
1726	2149	helo bAi kesahe up	1	1
3026	3924	Realy kaha par	1	1
2733	3375	bhaijaan thagaye hoghaey itne saare comments dekkar bhaijaan abhi online mein hai	1	1
181	252	Itni energy vaala perhaps he koi p.m.raha ho india ka, aapkey liyye bhagvaan se prey kertey hai, sabka saath... Sabka vikas....jai ho	2	2
2347	2792	Salman bhai s phon no looo yarrrrr	1	1
2319	2762	abe salman khan yaha logo ko bewakuf bana raha he aur log ban b rahe he per me nahi banoonga samjha be bajrangi	1	1
1058	1351	Hanji paji tiaar aa jooba	1	1
937	1204	Iski ma chod do salman ki	0	0
455	634	kam hai khatm kar leti hun bad me bat karungi	1	1
3318	4239	I blv u... Kp shining ma luv.. TZ luvs u.. :) :*	2	2
638	828	Muslim ka nam mat kharab karna salman bhai chahe kuch bhi karo koi tention nahi	0	0
1569	1979	7 mins more ab aur wait nai karsaktay khan saab cm fast	1	1
2250	2689	Are sir aj apke liye 4g internet pk dalwaya hai..ab aa bhi jao.. ;)	1	1
1378	1745	Ye to confirm hit nhi jayegi kyunki koyi musalman bhai iski picture nhi dekhega	0	0
2460	2917	3.30 se 4.00 4.00 se 4.30 aana he ya nhi	1	1
600	789	Kiya meri ap se bat ho sakti hai kisi wkt fb par	1	1
2688	3277	Bhai ajao yaar	1	1
184	256	Modi g jaha bhi gaya apna jhanda gaar kar aya.	2	2
904	1166	Koi bhi musalman is ki picture nahi dekhna	0	0
1473	1872	Wo is tarah ki pics iss liye share kar raha hai apni film anay wali hai us ko jo promote karna hai	1	1
3666	4645	abhe yeh really salman ki id h kya	1	1
3347	4268	Aur raha bt salman khan ka to salman khan ko apna name chenge kar dena chahiye salman nhi rakh k unko salman kumar rakhnaa chahiye isliye k o muslma k name per dhabaaa haiiiiiiiiiiii	0	0
1038	1326	sonya khan ek hijda musalmaan hai isey apna gender ni pata	0	0
2878	3722	Sir aap indore aoge kya promotion ke liye.	2	2
1245	1591	Jai shri ram .......coming sooooon bjrngi bhai jan	1	1
874	1120	Salman ab hindu bangya he bhayoo koi movie dhkhne nhi jaaye	0	0
1342	1705	i love u salman khan iam u r big big fan love u u u u u sooooo much sallu,,i miss u very day	2	2
1298	1655	mamu aap mera agar msg recevie kar to ple haan ya na mamu ple good morning.	1	1
706	898	ku salman ka naam bina use kare kam nhi hota kya bhai logo	2	2
1024	1309	Ashu Singh tu kya janta hai	1	1
2556	3032	bhai bihar ya patna kb aoge pls reply	1	1
1308	1666	goodness pic bhai aap bhut ache or smart ho..or m aapka sabse bda fan hu bhai	2	2
1828	2254	App ke Intjar mein..luv u bhai	2	2
901	1160	Yes bhai boleto fadu song	2	2
3792	4815	Salman bhaijan ko eid mubarak	2	2
1535	1945	Delete mat karna himat hy to jawab to	0	0
3248	4167	niceeeeeeee loveeeeee you bhaijaaan	2	2
485	666	mai suchii boliii sab hall mai bhai bhai wah bhaiii hi bolte hai haste hai josh mai aate hai bhut maja aata hai	2	2
1597	2007	Bhai bohot time hogaya hai abb toh shuru karo!!!!!	1	1
3617	4586	bhijaan eid mubharak......	2	2
2386	2836	salmaan sir hm aapse milna chahte hai plz sir...	1	1
2716	3347	ye kya baaat hoti h ?	1	1
722	916	Agar mushalman ko challange de rahe ho to bro movi m bhar de jholi wali kavali kyo aad ki ?????????	0	0
2411	2866	Dabang kha ho	1	1
1468	1866	Pyar mangi to Jaan dengi,milk mango to kher dengi,agaar Kashmir mangi to chir dengi.	1	1
1492	1900	3.30 bje tak bhai yaha video chat karne vale h so apne question ke sath taiyar rehna	1	1
2932	3793	OK bye bye lagta hai it's just fun .	1	1
2482	2941	4.13 now	1	1
1137	1454	Awa ge jaroor	1	1
2504	2965	Sallu bhai patiala a jao apni film ki promotion ke liye...	1	1
3435	4357	are yah madhar chud kiya dega iski to me ma chud dunga agar yah mil jaye yah madhar chud islam ka dusman ha is sale ko bech rod per lakar goli mar du ise mar duge to zanat miljayegi kiyu ki yah madhar chid islam ka dusman ha	0	0
994	1271	sabki jaan salman khan.	2	2
310	462	Sehar aa gaya	1	1
1107	1416	Aaj ki party bhai ke taraf se	1	1
3193	4111	Kucch b kaho...salman bhai kaa sabse nada fan iss puray shrishti mein afar koi hai...tyo o hai...mera bhaiSachin Pujari.....jab tak salman bhai zindagi mein ek baar agar inse naa mile...tyo zindagi mein mein kissise kya mile...	2	2
1532	1942	Agr ap aur thodi der mein nhi aye toh sab pagal ho jye ge jaldi ayu....	1	1
2612	3120	Main apka bohot badaaa fan hoon.. we luv u bhai	2	2
3691	4678	Muslman bolte huwe saram aa rahi hai	0	0
784	996	Nhi nhi thanks nhi 3 logo ko aur bta dena	1	1
170	236	modi ji jay ram ji ki	2	2
2991	3878	bhai aaye ki nahi ab tk	0	0
2385	2835	Are Bhai ko kuch bat bolo. q ke hum ya pe bohat sare fan ho . is k liye aanahi raha hai. waise b bo kitne k sath bat karenge.	1	1
1061	1356	pure bachio ki jaan lena hai kya aise pics dekha k	1	1
1575	1985	Heyy sallooo...aap apne in sab fans ko reply karo na..kab se wait kar rhe h sab...m still waiting. ..20 yrs se yahi kar rhi hu.ab bhi kar sakti hu....m not ur fan.....I <3 ...:D :D :D. ......	2	2
3653	4629	Kaise ho Salman sir...id ka kya huwa apke ???	1	1
1457	1845	Pata wata hota nhi ajate hain bheek mangne	1	1
1433	1816	Hllo salman bhai kase h aap	1	1
3218	4136	missss u salman	1	1
841	1076	Eid ke bina salman khan ki movie flop..akshay kumar ki movie chahe jab release ho hit hoti hai..	0	0
3131	4048	Main to Bajrangi Bhaijaan dekhne bilkul nai jaunga friends aap bhi mat jana	0	0
458	637	Han businesses women banna chahti hun tumhare chakkar me sab bhul gai hun ek tum ho jise shirf mai hi yad nahi hun	2	2
1740	2163	dekhte hai bawa	1	1
2200	2635	Bhaijaan aapka driving licence bam gaya ya nahi?????	1	1
1865	2292	4 to baj Gaye	1	1
1913	2341	hii bhaijaan...ab intjaar ni ho rha h...apse baat karni h	1	1
2206	2641	every sec. 300 ppl cmnt	1	1
1279	1628	bhai jaan aapki movie hit h ...ham aap ka sath h inshallah	2	2
3626	4595	Salman tu reply q nhi kar raha please please	1	1
1213	1553	Salame walekum .bajrangi bhaijan	1	1
312	464	Punjab me disst... ferozpur	1	1
80	111	Jada ghumte mat raho hamlok ko madat karo hamar bare socho jara ham madat magte to mili nahi qq	0	0
2070	2502	Salman bhai jai ho. Blessings to bajrangi bhaijann. ....	1	1
1528	1938	are abhi to Dus minuts baki hai Bhai....	1	1
3231	4149	Ok salman bha!!!!	1	1
663	854	bhai jan ekdam kadak	2	2
2887	3733	Fek    I'd  hai	0	0
3044	3946	Salman ji aap vul gy kya aap ka ek beta hai??	2	2
2488	2948	Abe kha saitan ke cakkr me pade ho	1	1
1841	2268	i wish meri ye wish puri ho jaye....	1	1
832	1066	Bhai jaan apse ek request tha.... ek baar apki koi dance functions me dance karne ka moka dete toh.... ye jindegi ki sabse bada dream pura ho jata	2	2
536	718	salman ke haters ko koi comment hi mat karo..tottaly ignored..great salman	2	2
14	18	Awsome...isey kehte hain hindustan ki chaap chodna poore duniya me...	2	2
3593	4538	Nice movie 200 crore asani se kama legi	2	2
1143	1461	hum intazar karenge	1	1
1730	2153	sir hamare ider 11;30 am ho gaye jub aap aao gaye mein baat nai kar saku gi plz mera messages per abi baat karo chote kp nursery se laana hoga mujhe mein london mein rehti hu plz sir reply de dou	1	1
158	217	modi ji bangladash sa sab hendu ko india ma la chaleya plz eha musalman hendu ka vume dakal karlata ha or ve bahot aneti karta ha	1	1
3836	4893	ye tb possible he jb aap hme bataoge k aap pak kb aoge kaha tehroge aur me aap se kase milo i promise ak dafa os baad aap ko cal kerne ka kbi nai bologi na i milne ka just one time plz	1	1
3081	3993	kha par bhai	1	1
1495	1903	Koun se page par hogi baat bhai koi soon RHA hay	1	1
359	522	kya hua apka wada woh kasam woh irada	0	0
2659	3213	love u bhai tumhare liye ye jaan bhi de sakta hu..Love u bhai jaan sallu bhai..	2	2
1870	2297	kya aap human being ko hmesha support kroge ???	1	1
1071	1367	bhai mai tu kabse tayyar sath me eid manege bhai roza the aj	1	1
2044	2476	bhai kha ho	1	1
1276	1625	pakistan k fans kia kren zara ye bhi btaye bhai?	1	1
939	1206	Kutty sharam tou hai nhi tujh mai zalill insaan	0	0
1039	1327	Sonya tum ladka ho ya ldki jaldi btao ek kam h tum se	1	1
305	455	Sat sat naman	1	1
2203	2638	are wait kro jaruri thodi na hai 4 bje ka bola hai to 4 bje hi aaye	1	1
2056	2488	salman mughe aapki ek bat sabse acchi lgi	2	2
613	803	Agar aap na media mein ya kha hoga ki musalmano ki bigar bajrangi bhaijaaan hit karunga then u are a foll	0	0
570	756	Kafir hy tu salman knjr marwasy k btty	0	0
3662	4640	300, crore insha Allah	2	2
877	1125	Super duper flop...inshallah nich hai Salman Khan tu..?	0	0
1116	1427	Bole to ekdum hit apne sallu bhai ki picture jhakaaas	2	2
2165	2598	Abe ye koyi salman ki real prf thodi hai	1	1
3010	3903	Hum aapko ek jhalk dekhne ke liy a tarap rahe hai	2	2
2497	2957	5000comment in 5minute	1	1
737	934	Iska film mat dekhna dosto	0	0
2665	3223	bhai fans ka dil na todo aa jao	1	1
1798	2223	Kaha kaisy? M karna chati ho aapsy bohot sara baat	1	1
2342	2787	Kitthe reh gaye sallu ji 04:07 ho gye	1	1
204	288	ghumna band karo modiji ab thoda sarkar ko bhi dekhlo ..............................	0	0
2338	2783	are kya hua bologe bhi kha ho	1	1
818	1049	swal kai hai jwab kab doge	1	1
1624	2037	Bhai ap jhakas ho pr sab ne body ap ko dekh kar banaaya or ap mote hote ja rahe ho	2	2
1081	1380	BHAI boht acha hy bus aj ki jagah pr eid hona chahye thaeid ki prty meri trafcse .....Jai hoooo bhaii	2	2
3368	4289	Jai ho jai ho jai ho. Bhajrangi bhaijaan	1	1
2819	3624	Dongiri tb hogi jb salu bhai(Salman) nd GuRu bhai(Hemant) dono sath me honge..	2	2
2326	2770	Bhai aap may bara fan hu please aap number mujhe mallum nhi	1	1
1894	2322	o really ,maja ayega ,kab 4 baje ga	1	1
326	480	JAI HO MODI JI	2	2
772	981	tum se pyaar <3<3<3	2	2
2439	2896	Jaldi ago bhai	1	1
1458	1846	Bande matramjai hindbharat mata ki jaind indai is greati love my india;->	2	2
2026	2458	salamin alaykum salman khan jumma bubarakho how are you	1	1
313	465	One rank one pension ke liye Pease nahi hai sharm karo bhul gaye Rewadi ki pehli relli ko PM SAAB	0	0
2904	3755	koi ta msg krdo Salman Khan	2	2
1849	2276	aisa sahi me hoga kya	1	1
564	749	Kya kah diya sallu bhaijaan	2	2
3849	4917	gold aur silver ke shear kharid ke bhul jao agar aage chal kar kabhi koi us businesses me jana chahe to shears bhech kar original kharidle nahi to wo rahega aise hi	1	1
2624	3137	Aik he q bar bar repeat karna b acha nhe lag raha	1	1
1957	2386	5 mnt or	1	1
2653	3188	hello #salman #khan	1	1
3372	4293	Bhaijaan aapne sahi baat kahi hai .......hum sab ak hain hume faltu rumer se bachana hog a.....	1	1
833	1067	lov u sallu bhai	2	2
740	938	Hallo salman sir	1	1
2752	3408	Bahi mai karanataka se hun apko dekne k lia bahut bhar aa chuka hun mumbai pe lekin uss time ku aap nahi mile 11 sal se mumbai ara hun aj tak nahi deka plz reply bhai plz apse request hai	1	1
2074	2506	4 baj gaye bhaijan bhaijan ji :-* <3	1	1
1602	2015	love uuuu soooo muchhhhhhhhhhh jannatttttttttt	2	2
2867	3702	Paya Thakur nahi ata vo tum ko kuch kam hai kya to kar ke ajo	2	2
2511	2974	Sir hum Aapka wait kar rahe hai please talk	1	1
2860	3688	kamaal karte ho Salman ji aayeh bhi nahi..	2	2
906	1168	Ek bAat apki achchi nhi lgI... #Salman_Bhai... mekO pTa h aP bZy h bt vO bAat apKo ptA nhi chl paegi jab tak aP mekO cntct nhi krenge m apni bAat v clear nhi kr paunga	0	0
3463	4386	Kaya hal salman bahi kamal karte ho pande g	1	1
1557	1967	Salman bhai..... Ki haal chal	1	1
2753	3413	Hi.kabhi kabhi apne fanse bhi mil lia kijie.kuch surprised to dena chahie...	1	1
3520	4448	salman khan aap pakistan aa rahan par kon se city aya ga plz plz humko bhi aapse milena han plz plz batyan na	1	1
702	894	Sale ne muslmano ko chalenge kiya ki tumhare bina hit karunga	0	0
2195	2630	4 baj gaye Lekin sallu sir ki entry abi baaaki hai....	1	1
3476	4400	K bole6e,..Tui ki janis anti religiÃ²us film kake bole,..	0	0
806	1030	ami salman ke valobasi...i love u SALMAN	2	2
2171	2604	Kitna tym aurrrrr ji	1	1
2823	3630	Ab 4 40 ho gaye hain.....	2	2
948	1217	bhaijan eid mubarak	1	1
2768	3455	aap ki mujhey ek hebbit bohot acchi lagti h dusro ki madat karna .........like you	2	2
2691	3288	lag rha h bhai aise ni aayenge	0	0
493	674	meraa paarsal miila	1	1
1701	2121	Nice salu bhai	2	2
2719	3350	Sir plz come 4pm baj gae	1	1
1424	1806	waise time waste nhi kartey ho timing kain pake ho	1	1
1793	2218	bas aapko milne ki khwaish hai Inshallah agar zindagi rahi to Allah wo bhi puri krdega Inshallah...	1	1
2219	2655	Bhai 4 baj gaye kaha ho jaldi ao	1	1
124	173	Modiji nice parson abi survat hai age age dekho hota hai kay	2	2
844	1081	bhai plzzzzz apni movie 27 ramzan ko release na kiya kro. its my request q k ramzan ki 27 v rat(holy night) ko shbe kadr hoti he. sare muslman ibadat krty he. ap b muslim ho na. #beingsalmankhan #bbthiseid #aajkiparty #bajrangibhaijan	1	1
3592	4537	bhai jaan humne suna hai jo apke kreeb hote hai ap unki har vis puri karte plz bhai ek baar mujhse baat kar lijiye g.e. bhai love u always	2	2
1830	2256	Aapse baat hogi .dil nhi manta.	1	1
2130	2563	sallu bhaijan.pls aa jo ab	1	1
2522	2989	Kamal krte ho pandey ji kha ho aap	1	1
572	758	Salman ek baar jawab to do yaar	1	1
3396	4318	Eid 2015 Hum sath sath bajrangi bhaijaan.	2	2
317	469	Sir, Abhi desh ke sabhi state ka tour laga ne to nikle. Jaise 2014 ke election me aap nikle the. Aab dekhye kitna parivartan/ change hua hai ke nahi.	0	0
1843	2270	OK main aap ki intzar karugi Bas aap sache Salman khan hai Toh Itna jarur batana aap kaisa hai.....:) aapko dekhne ko Dil chahta hai ???	1	1
